not_matched,conflict_ann,inbed,outbed,distance
52145900,0,0,0,12 days 19:28:42.505001
15990900,0,0,0,7 days 17:25:30.494100
16072600,0,0,0,7 days 17:32:18.994100
60372000,0,756000,0,0 days 01:12:29.629224
60372000,0,756000,0,0 days 01:12:29.629224
59440500,0,144000,0,1 days 19:43:16.983958
59440800,0,144000,0,1 days 19:43:18.356946
43345700,0,192000,0,1 days 00:48:10.720658
43280300,0,192000,0,1 days 00:48:35.000264
43630500,0,108000,0,1 days 05:27:26.903723
43679200,0,108000,0,1 days 05:31:02.459346
51504000,0,336000,0,0 days 05:12:45.480564
51504000,0,336000,0,0 days 05:12:45.480564
52415300,0,300000,0,0 days 04:50:26.538631
52471500,0,300000,0,0 days 04:50:14.101998
52471200,0,300000,0,0 days 04:50:14.166717
42834500,0,0,0,12 days 12:40:02.494102
42790800,0,0,0,12 days 12:36:23.994102
52691100,0,120000,0,1 days 00:00:54.221293
52691000,0,120000,0,1 days 00:00:53.853364
52641800,0,120000,0,0 days 23:57:52.893334
33278600,0,0,0,10 days 17:30:08.994100
33240500,0,0,0,10 days 17:26:58.494100
17655200,0,0,0,12 days 02:58:59.005001
17717500,0,0,0,12 days 02:53:47.505001
26282800,0,132000,0,0 days 05:33:44.220279
26354600,0,132000,0,0 days 05:35:47.500676
26314100,0,132000,0,0 days 05:34:37.804136
60720000,0,0,0,-1
18171000,0,0,0,11 days 12:01:58.016358
18619200,0,39600,0,3 days 01:36:46.304365
18174600,0,0,0,11 days 12:02:58.016358
43020300,0,0,0,6 days 13:01:35.505001
59601700,0,0,0,5 days 13:59:48.505001
59601500,0,0,0,5 days 13:59:49.505001
9232900,0,0,0,0 days 13:03:19.494176
9294400,0,0,0,0 days 13:08:26.994176
9207400,0,0,0,0 days 13:01:11.994176
60120000,0,360000,0,0 days 09:58:00.141497
50312800,0,372000,12000,0 days 12:46:32.823468
50248700,0,372000,12000,0 days 12:43:06.142283
60228000,0,252000,0,1 days 14:12:49.971178
60228000,0,252000,0,1 days 14:12:49.971178
12663240,0,99000,16200,0 days 11:14:05.284716
12655050,0,99000,16200,0 days 11:12:34.816348
34659100,0,282000,6000,0 days 14:47:46.139026
34658700,0,282000,6000,0 days 14:47:44.562835
50232700,6000,354000,24000,0 days 12:56:48.511523
50233300,6000,354000,24000,0 days 12:56:49.108909
60720000,0,0,0,-1
60418200,0,373800,0,1 days 02:11:30.316570
60418200,0,373800,0,1 days 02:11:30.316570
41689100,0,0,0,17 days 06:26:01.494100
60852000,6000,474000,0,0 days 17:07:46.297986
49890000,6000,474000,0,0 days 07:49:30.285240
13069650,0,59400,5400,0 days 12:04:33.554289
13006380,0,59400,5400,0 days 11:54:58.906067
50178000,0,1866000,6000,0 days 01:28:41.258861
50178000,0,1866000,6000,0 days 01:28:41.258861
58058500,0,672000,0,0 days 02:12:40.442241
34415600,0,0,0,4 days 00:52:53.005001
34489300,0,0,0,4 days 00:46:44.505001
34489200,0,0,0,4 days 00:46:45.005001
18325500,0,480000,0,0 days 04:39:30.695058
18399300,0,480000,0,0 days 04:40:28.964376
42730700,0,192000,0,0 days 21:37:09.846437
42756300,0,192000,0,0 days 21:36:27.483128
